2-(1,3-BENZODIOXOL-5-YL)-5-[(3-FLUORO-4-METHOXYBENZYL)SULFANYL]-1,3,4-OXADIAZOLE	GSK3B
BRASOFENSINE	DRD2
WAY-151693	MMP13
AP1903	MTOR
DOXYLAMINE	CHRM1
DOXYLAMINE	HRH1
DOXYLAMINE	NR1I3
BENZQUINAMIDE	CHRM5
BENZQUINAMIDE	CHRM1
BENZQUINAMIDE	CHRM3
BENZQUINAMIDE	HRH1
BENZQUINAMIDE	CHRM2
BENZQUINAMIDE	CHRM4
4-{3-CHLORO-4-[3-(2,4-DICHLORO-BENZOYL)-UREIDO]-PHENOXY}-BUTYRIC ACID	PYGM
9-HYDROXY-8-METHOXY-6-NITRO-PHENANTHROL[3,4-D][1,3]DIOXOLE-5-CARBOXYLIC ACID	PLA2G2E
ISOPROPYL ALCOHOL	AHCY
ISOPROPYL ALCOHOL	GM2A
ISOPROPYL ALCOHOL	PRDX6
ISOPROPYL ALCOHOL	RNGTT
ISOPROPYL ALCOHOL	ACP5
ISOPROPYL ALCOHOL	CHIT1
ISOPROPYL ALCOHOL	DCXR
ISOPROPYL ALCOHOL	RNASE1
ISOPROPYL ALCOHOL	GDF5
ISOPROPYL ALCOHOL	ADI1
ISOPROPYL ALCOHOL	PRSS2
ISOPROPYL ALCOHOL	PLA2G2A
ISOPROPYL ALCOHOL	GCH1
ISOPROPYL ALCOHOL	DDX39B
ISOPROPYL ALCOHOL	TNF
(1R)-2-[(CYANOMETHYL)AMINO]-1-({[2-(DIFLUOROMETHOXY)BENZYL]SULFONYL}METHYL)-2-OXOETHYL MORPHOLINE-4-CARBOXYLATE	CTSS
MERCAPTOPURINE	HPRT1
MERCAPTOPURINE	PPAT
MORICIZINE	SCN5A
EPICEPT NP-1	OPRM1
EPICEPT NP-1	OPRL1
EPICEPT NP-1	ADRA2A
EPICEPT NP-1	ADRA2B
EPICEPT NP-1	ADRA1D
EPICEPT NP-1	HRH1
EPICEPT NP-1	HTR2C
EPICEPT NP-1	HTR2B
EPICEPT NP-1	ADRA1A
EPICEPT NP-1	ADRA1B
EPICEPT NP-1	ADRA2C
EPICEPT NP-1	HTR2A
1-ETHOXYCARBONYL-D-PHE-PRO-2(4-AMINOBUTYL)HYDRAZINE	F2
N-[(5R,14R)-5-AMINO-5,14-DIMETHYL-4-OXO-3-OXA-18-AZATRICYCLO[15.3.1.1~7,11~]DOCOSA-1(21),7(22),8,10,17,19-HEXAEN-19-YL]-N-METHYLMETHANESULFONAMIDE	BACE1
4-[5-(3-IODO-PHENYL)-2-(4-METHANESULFINYL-PHENYL)-1H-IMIDAZOL-4-YL]-PYRIDINE	MAPK14
N~3~-[5-(1H-INDOL-6-YL)-2-(PYRIDIN-2-YLMETHOXY)BENZYL]PYRIDINE-2,3-DIAMINE	BACE1
(13R,15S)-13-METHYL-16-OXA-8,9,12,22,24-PENTAAZAHEXACYCLO[15.6.2.16,9.1,12,15.0,2,7.0,21,25]HEPTACOSA-1(24),2,4,6,17(25),18,20-HEPTAENE-23,26-DIONE	CDK2
CILANSETRON	HTR3A
METHYL L-PHENYLALANINATE	F2
OCTREOTIDE	SSTR1
OCTREOTIDE	SSTR5
OCTREOTIDE	SSTR2
99MTC-14 F7 MAB	ST3GAL5
KX-01	SRC
N-[(1S)-2-{[(1R)-2-(BENZYLOXY)-1-CYANO-1-METHYLETHYL]AMINO}-1-(CYCLOHEXYLMETHYL)-2-OXOETHYL]MORPHOLINE-4-CARBOXAMIDE	CTSS
IPRATROPIUM BROMIDE	CHRM3
IPRATROPIUM BROMIDE	CHRM1
IPRATROPIUM BROMIDE	CHRM2
2-AMINO-3-METHYL-1-PYRROLIDIN-1-YL-BUTAN-1-ONE	DPP4
(4R)-7,8-DICHLORO-1,9-DIMETHYL-1-OXO-1,2,4,9-TETRAHYDROSPIRO[BETA-CARBOLINE-3,4-PIPERIDINE]-4-CARBONITRILE	DAPK3
(4R)-7,8-DICHLORO-1,9-DIMETHYL-1-OXO-1,2,4,9-TETRAHYDROSPIRO[BETA-CARBOLINE-3,4-PIPERIDINE]-4-CARBONITRILE	PIM1
CP403700, (S)-1-{2-[(5-CHLORO-1H-INDOLE-2-CARBONYL)-AMINO]-3-PHENYL-PROPIONYL}-AZETIDINE-3-CARBOXYLATE	PYGL
5,8-DIMETHOXY-1,4-DIMETHYLQUINOLIN-2(1H)-ONE	NQO2
3-CHLORO-9-ETHYL-6,7,8,9,10,11-HEXAHYDRO-7,11-METHANOCYCLOOCTA[B]QUINOLIN-12-AMINE	ACHE
CINITAPRIDE	HTR1A
CINITAPRIDE	HTR2A
CINITAPRIDE	HTR4
2-(1H-PYRAZOL-3-YL)-1H-BENZIMIDAZOLE	AURKA
LENOGRASTIM	CSF3R
HSPE7	UBR4
HSPE7	KRT7
2,3-DIHYDROXY-BENZOIC ACID	LCN2
N-(5,6-DIPHENYLFURO[2,3-D]PYRIMIDIN-4-YL)GLYCINE	CHEK1
INDORAMIN	ADRA1A
2-(2-PHENYL-3-PYRIDIN-2-YL-4,5,6,7-TETRAHYDRO-2H-ISOPHOSPHINDOL-1-YL)PYRIDINE	GSR
DAIDZIN	ALDH2
LY-517717	F10
PENTOBARBITAL	NR1I2
PENTOBARBITAL	CHRNA4
PENTOBARBITAL	GABRA5
PENTOBARBITAL	GABRA1
PENTOBARBITAL	GABRA4
PENTOBARBITAL	GABRA2
PENTOBARBITAL	CHRNA7
PENTOBARBITAL	GABRA6
PENTOBARBITAL	GRIA2
PENTOBARBITAL	GRIK2
PENTOBARBITAL	GABRA3
PALIFERMIN	FGFR3
PALIFERMIN	HSPG2
PALIFERMIN	FGFR2
PALIFERMIN	NRP1
PALIFERMIN	FGFR1
PALIFERMIN	FGFR4
5-CHLORO-N-(2-(4-(2-OXOPYRIDIN-1(2H)-YL)BENZAMIDO)ETHYL)THIOPHENE-2-CARBOXAMIDE	F10
DIHYDROLIPOIC ACID	PDK3
DIHYDROLIPOIC ACID	DLAT
DIHYDROLIPOIC ACID	GCSH
CALCITRIOL	VDR
CALCITRIOL	GC
CALCITRIOL	HOXA10
ATROPINE	CHRNB2
ATROPINE	CHRM5
ATROPINE	GLRA1
ATROPINE	CHRM4
ATROPINE	CHRM2
ATROPINE	CHRM1
ATROPINE	CHRNA4
ATROPINE	CHRM3
NIACIN	NNMT
NIACIN	QPRT
NIACIN	HCAR2
NIACIN	HCAR3
REPAGLINIDE	ABCC8
REPAGLINIDE	PPARG
S,S-(2-HYDROXYETHYL)THIOCYSTEINE	ARG1
S,S-(2-HYDROXYETHYL)THIOCYSTEINE	PRKACA
S,S-(2-HYDROXYETHYL)THIOCYSTEINE	SERPINB5
S,S-(2-HYDROXYETHYL)THIOCYSTEINE	PDE4B
S,S-(2-HYDROXYETHYL)THIOCYSTEINE	CYTH2
S,S-(2-HYDROXYETHYL)THIOCYSTEINE	PDE1B
S,S-(2-HYDROXYETHYL)THIOCYSTEINE	TYMS
S,S-(2-HYDROXYETHYL)THIOCYSTEINE	SNX3
S,S-(2-HYDROXYETHYL)THIOCYSTEINE	PIM1
3-HYDROXYHIPPURIC ACID	KYNU
ADX10059	GRM5
1-[4-(PYRIDIN-4-YLOXY)PHENYL]-3-[3-(TRIFLUOROMETHYL)PHENYL]UREA	ABL1
THIENO[2,3-B]PYRIDINE-2-CARBOXAMIDINE	PRSS1
THIENO[2,3-B]PYRIDINE-2-CARBOXAMIDINE	PLAU
DOCETAXEL	BCL2
DOCETAXEL	NR1I2
DOCETAXEL	MAP4
DOCETAXEL	MAPT
DOCETAXEL	MAP2
DOCETAXEL	TUBB1
ISO24	SRC
9-HYDROXY-6-(3-HYDROXYPROPYL)-4-(2-METHOXYPHENYL)PYRROLO[3,4-C]CARBAZOLE-1,3(2H,6H)-DIONE	WEE1
N-(3-CHLOROPHENYL)-N-METHYL-2-OXO-3-[(3,4,5-TRIMETHYL-1H-PYRROL-2-YL)METHYL]-2H-INDOLE-5-SULFONAMIDE	MET
ENRASENTAN	EDNRA
ENRASENTAN	EDNRB
(2S)-8-[(TERT-BUTOXYCARBONYL)AMINO]-2-(1H-INDOL-3-YL)OCTANOIC ACID	SKP1
6-(3-BROMO-2-NAPHTHYL)-1,3,5-TRIAZINE-2,4-DIAMINE	HSP90AA1
DIGOXIN	ATP1A1
NITISINONE	HPD
CLONAZEPAM	NR1I2
CLONAZEPAM	TSPO
2-(3-AMINO-2,5,6-TRIMETHOXYPHENYL)ETHYL 5-CHLORO-2,4-DIHYDROXYBENZOATE	HSP90B1
2-(3-AMINO-2,5,6-TRIMETHOXYPHENYL)ETHYL 5-CHLORO-2,4-DIHYDROXYBENZOATE	HSP90AB1
GLUTAMIC ACID	GRM1
GLUTAMIC ACID	GCLM
GLUTAMIC ACID	GPT
GLUTAMIC ACID	GRIA3
GLUTAMIC ACID	GRID1
GLUTAMIC ACID	GMPS
GLUTAMIC ACID	GRIK5
GLUTAMIC ACID	SLC1A6
GLUTAMIC ACID	NAGS
GLUTAMIC ACID	ABAT
GLUTAMIC ACID	GRM7
GLUTAMIC ACID	GLUL
GLUTAMIC ACID	ALDH18A1
GLUTAMIC ACID	ASNS
GLUTAMIC ACID	EPRS
GLUTAMIC ACID	GRIK1
GLUTAMIC ACID	FPGS
GLUTAMIC ACID	GATB
GLUTAMIC ACID	GCLC
GLUTAMIC ACID	OPLAH
GLUTAMIC ACID	GOT1
GLUTAMIC ACID	GLUD2
GLUTAMIC ACID	GRID2
GLUTAMIC ACID	SLC25A22
GLUTAMIC ACID	AASS
GLUTAMIC ACID	NADSYN1
GLUTAMIC ACID	ENPEP
GLUTAMIC ACID	LGSN
GLUTAMIC ACID	FTCD
GLUTAMIC ACID	GOT2
GLUTAMIC ACID	SLC1A1
GLUTAMIC ACID	GRIK2
GLUTAMIC ACID	GRIN2B
GLUTAMIC ACID	GRIA1
GLUTAMIC ACID	GRIN2C
GLUTAMIC ACID	SLC1A3
GLUTAMIC ACID	GRIN2D
GLUTAMIC ACID	AADAT
GLUTAMIC ACID	SLC1A2
GLUTAMIC ACID	GPT2
GLUTAMIC ACID	GRIA4
GLUTAMIC ACID	GLS2
GLUTAMIC ACID	TAT
GLUTAMIC ACID	GRIN3B
GLUTAMIC ACID	BCAT1
GLUTAMIC ACID	GAD2
GLUTAMIC ACID	SLC7A11
GLUTAMIC ACID	EARS2
GLUTAMIC ACID	SLC25A18
GLUTAMIC ACID	PSAT1
GLUTAMIC ACID	BCAT2
GLUTAMIC ACID	GGCX
GLUTAMIC ACID	FOLH1
GLUTAMIC ACID	GRM8
GLUTAMIC ACID	GAD1
GLUTAMIC ACID	GRIN3A
GLUTAMIC ACID	GRIN2A
GLUTAMIC ACID	CPQ
GLUTAMIC ACID	GRIK3
GLUTAMIC ACID	GRIA2
GLUTAMIC ACID	PFAS
GLUTAMIC ACID	GLUD1
GLUTAMIC ACID	GLS
GLUTAMIC ACID	DNPEP
GLUTAMIC ACID	GRIN1
GLUTAMIC ACID	GRM4
GLUTAMIC ACID	GRIK4
GLUTAMIC ACID	SLC1A7
OLANZAPINE	DRD3
OLANZAPINE	CHRM4
OLANZAPINE	HTR7
OLANZAPINE	DRD2
OLANZAPINE	HRH2
OLANZAPINE	DRD4
OLANZAPINE	HTR6
OLANZAPINE	CHRM3
OLANZAPINE	CHRM2
OLANZAPINE	HTR2C
OLANZAPINE	CHRM5
OLANZAPINE	HTR1A
OLANZAPINE	HTR1B
OLANZAPINE	ADRA2A
OLANZAPINE	HTR3A
OLANZAPINE	HTR1D
OLANZAPINE	DRD1
OLANZAPINE	HTR1E
OLANZAPINE	HTR2A
OLANZAPINE	ADRA1A
OLANZAPINE	HRH4
OLANZAPINE	CHRM1
OLANZAPINE	ADRA2B
OLANZAPINE	HRH1
OLANZAPINE	HTR2B
OLANZAPINE	HTR5A
OLANZAPINE	ADRA1B
OLANZAPINE	ADRA2C
OLANZAPINE	DRD5
CLOMIFENE	SHBG
CLOMIFENE	ESR1
4-(QUINOLIN-3-YLMETHYL)PIPERIDINE-1-CARBOXYLIC ACID	FAAH
(3E)-5-FLUORO-1-[(6-FLUORO-4H-1,3-BENZODIOXIN-8-YL)METHYL]-1H-INDOLE-2,3-DIONE 3-OXIME	MAPK10
6-HYDROXY-6-METHYL-HEPTAN-3-ONE	LCN9
(2S)-4-(2,5-DIFLUOROPHENYL)-N-METHYL-2-PHENYL-N-PIPERIDIN-4-YL-2,5-DIHYDRO-1H-PYRROLE-1-CARBOXAMIDE	KIF11
PRENYLAMINE	MYLK2
PRENYLAMINE	CALM1
ZAFIRLUKAST	CYSLTR1
ZIDOVUDINE	TERT
BETA-L-ARABINOSE	ARAF
IMEXON	RRM2
IMEXON	RRM1
HUPERZINE B	ACHE
N-ACETYL-N-BETA-D-GLUCOPYRANOSYL UREA	PYGM
EPOTHILONE D	TUBA8
EPOTHILONE D	TUBB1
EPOTHILONE D	TUBA1A
EPOTHILONE D	TUBB3
EPOTHILONE D	TUBA3C
EPOTHILONE D	TUBB4B
EPOTHILONE D	TUBA1C
EPOTHILONE D	TUBB
EPOTHILONE D	TUBB4A
EPOTHILONE D	TUBA1B
EPOTHILONE D	TUBA4A
AL7099A	CA2
N-NAPHTHALEN-1-YLMETHYL-2-[3,5-DIMETHOXYBENZAMIDO]-2-DEOXY-ADENOSINE	GAPDHS
3-(1-NAPHTHYLMETHOXY)PYRIDIN-2-AMINE	MAPK14
5-DEOXY-5-(METHYLTHIO)-TUBERCIDIN	MTAP
KETOROLAC	PTGS1
KETOROLAC	PTGS2
N-HYDROXY-4-({4-[4-(TRIFLUOROMETHYL)PHENOXY]PHENYL}SULFONYL)TETRAHYDRO-2H-PYRAN-4-CARBOXAMIDE	ADAMTS5
METHYL-2-S-(ALPHA-D-MANNOPYRANOSYL)-2-THIO-ALPHA-D-MANNOPYRANOSIDE	MAN1B1
GALACTOSE GREASE	ABO
N-(4-METHYLBENZOYL)-4-BENZYLPIPERIDINE	INHA
N-(1-CYANOCYCLOPROPYL)-3-({[(2S)-5-OXOPYRROLIDIN-2-YL]METHYL}SULFONYL)-N~2~-[(1S)-2,2,2-TRIFLUORO-1-(4-FLUOROPHENYL)ETHYL]-L-ALANINAMIDE	CTSS
DAUNORUBICIN	TOP2B
DAUNORUBICIN	TOP2A
ATL146E	ADORA2A
PROCHLORPERAZINE	DRD2
2-[2-(1,3-DIOXO-1,3-DIHYDRO-2H-ISOINDOL-2-YL)ETHYL]-4-(4-ETHOXY-1,1-BIPHENYL-4-YL)-4-OXOBUTANOIC ACID	MMP12
[4-(2-AMINO-4-METHYL-THIAZOL-5-YL)-PYRIMIDIN-2-YL]-(3-NITRO-PHENYL)-AMINE	CCNA2
[4-(2-AMINO-4-METHYL-THIAZOL-5-YL)-PYRIMIDIN-2-YL]-(3-NITRO-PHENYL)-AMINE	CDK2
ANDROSTENEDIONE	AKR1C3
ANDROSTENEDIONE	HSD3B1
ANDROSTENEDIONE	HSD17B1
LY249543	MTHFD1
2-PROLYL-5-TERT-BUTYL-[1,3,4]OXADIAZOLE	PIP
N-[2-(6-AMINO-4-METHYLPYRIDIN-2-YL)ETHYL]-4-CYANOBENZAMIDE	NOS2
(DIAMINOMETHYL-METHYL-AMINO)-ACETIC ACID	CKM
LESTAURTINIB	FLT3
N-(2-(((5-CHLORO-2-PYRIDINYL)AMINO)SULFONYL)PHENYL)-4-(2-OXO-1(2H)-PYRIDINYL)BENZAMIDE	F10
5-AMIDINO-BENZIMIDAZOLE	PRSS1
VON WILLEBRAND FACTOR HUMAN	F8
VON WILLEBRAND FACTOR HUMAN	COL1A1
CHLOROPHYLL A	BLM
4-[3-(4-CHLOROPHENYL)-1H-PYRAZOL-5-YL]PIPERIDINE	F2
N-[(2R,3S)-3-AMINO-2-HYDROXY-4-PHENYLBUTYL]NAPHTHALENE-2-SULFONAMIDE	F2
HEXANE-1,6-DIOL	HRAS
HEXANE-1,6-DIOL	PLA2G1B
HEXANE-1,6-DIOL	NR3C1
2-(4-CARCOXY-5-ISOPROPYLTHIAZOLYL)BENZOPIPERIDINE	SRC
4-(6-HYDROXY-1H-INDAZOL-3-YL)BENZENE-1,3-DIOL	NCOA2
4-(6-HYDROXY-1H-INDAZOL-3-YL)BENZENE-1,3-DIOL	ESR1
GTI 2040	RRM2
RESIQUIMOD	TLR8
RESIQUIMOD	TLR7
ACETAMINOPHEN	PTGS1
ACETAMINOPHEN	TRPV1
ACETAMINOPHEN	FAAH
ACETAMINOPHEN	PTGS2
ACETAMINOPHEN	GSTP1
(5S)-2-{[(1S)-1-(4-FLUOROPHENYL)ETHYL]AMINO}-5-(1-HYDROXY-1-METHYLETHYL)-5-METHYL-1,3-THIAZOL-4(5H)-ONE	HSD11B1
(S)-1-PHENYL-1-[4-(9H-PURIN-6-YL)PHENYL]METHANAMINE	PRKACA
(S)-1-PHENYL-1-[4-(9H-PURIN-6-YL)PHENYL]METHANAMINE	PKIA
ENALKIREN	REN
SIROLIMUS	FGF2
SIROLIMUS	FKBP1A
SIROLIMUS	MTOR
HYDROXYCHLOROQUINE	TLR7
HYDROXYCHLOROQUINE	TLR9
ANDROSTANEDIONE	HSD17B1
1-{2-[(4-CHLOROPHENYL)AMINO]-2-OXOETHYL}-N-(1-ISOPROPYLPIPERIDIN-4-YL)-1H-INDOLE-2-CARBOXAMIDE	F10
DITHIOERYTHRITOL	TK1
[5-AMINO-1-(4-FLUOROPHENYL)-1H-PYRAZOL-4-YL][3-(PIPERIDIN-4-YLOXY)PHENYL]METHANONE	MAPK14
(3-ENDO)-8-METHYL-8-AZABICYCLO[3.2.1]OCT-3-YL 1H-PYRROLO[2,3-B]PYRIDINE-3-CARBOXYLATE	CHEK1
HARMALINE	HNMT
CANDOXATRILAT	MME
6-CARBOXYMETHYLURACIL	DPYD
H TYPE I TRISACCHARIDE	ABO
(S)-ROLIPRAM	PDE4B
(S)-ROLIPRAM	PDE4D
2-(CYCLOHEPTYLMETHYL)-1,1-DIOXIDO-1-BENZOTHIOPHEN-6-YL SULFAMATE	CA2
5-BROMO-2-{[(4-CHLOROPHENYL)SULFONYL]AMINO}BENZOIC ACID	METAP2
N-[4-(BENZYLOXY)PHENYL]GLYCINAMIDE	LTA4H
1-{(1R,2S)-2-HYDROXY-1-[2-(2-NAPHTHYLOXY)ETHYL]PROPYL}-1H-IMIDAZONE-4-CARBOXAMIDE	ADA
1-METHYL-3-PHENYL-1H-PYRAZOL-5-YLSULFAMIC ACID	PTPN1
MODAFINIL	SLC6A3
MODAFINIL	ADRA1B
HEXYLPHOSPHONIC ACID (S)-2-METHYL-3-PHENYLPROPYL ESTER	LIPA
ND7001	PDE2A
ND7001	PDE2A
CRA_10972	PRSS1
3-[5-(1H-IMIDAZOL-1-YL)-7-METHYL-1H-BENZIMIDAZOL-2-YL]-4-[(PYRIDIN-2-YLMETHYL)AMINO]PYRIDIN-2(1H)-ONE	IGF1R
2-({2-[(3-HYDROXYPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)BENZAMIDE	MAPK8
URIDINE-5-DIPHOSPHATE	GALE
URIDINE-5-DIPHOSPHATE	B3GAT1
URIDINE-5-DIPHOSPHATE	CMPK1
URIDINE-5-DIPHOSPHATE	GALE
URIDINE-5-DIPHOSPHATE	EXTL2
URIDINE-5-DIPHOSPHATE	GALT
URIDINE-5-DIPHOSPHATE	GLT6D1
URIDINE-5-DIPHOSPHATE	ABO
URIDINE-5-DIPHOSPHATE	B3GAT3
URIDINE-5-DIPHOSPHATE	GYG1
2-[METHYL-(5-GERANYL-4-METHYL-PENT-3-ENYL)-AMINO]-ETHYL-DIPHOSPHATE	PGGT1B
2-[METHYL-(5-GERANYL-4-METHYL-PENT-3-ENYL)-AMINO]-ETHYL-DIPHOSPHATE	FNTA
2-{2-[(3,5-DIMETHYLPHENYL)AMINO]PYRIMIDIN-4-YL}-N-[(1S)-2-HYDROXY-1-METHYLETHYL]-4-METHYL-1,3-THIAZOLE-5-CARBOXAMIDE	SYK
5-(HEXAHYDRO-2-OXO-1H-THIENO[3,4-D]IMIDAZOL-6-YL)PENTANAL	PC
DEXIBUPROFEN	PPARG
DEXIBUPROFEN	FABP2
DEXIBUPROFEN	BCL2
DEXIBUPROFEN	THBD
DEXIBUPROFEN	PTGS1
DEXIBUPROFEN	PLAT
DEXIBUPROFEN	CFTR
DEXIBUPROFEN	PTGS2
VIGABATRIN	ABAT
VIGABATRIN	GABBR1
CRX-119	SLC6A4
CRX-119	SLC6A2
OXYGEN	HBB
OXYGEN	HBA1
OXYGEN	NOX1
OXYGEN	MT-CO1
GLIQUIDONE	KCNJ8
GLIQUIDONE	ABCC8
1-DECYL-3-TRIFLUORO ETHYL-SN-GLYCERO-2-PHOSPHOMETHANOL	PLA2G1B
RU78262	SRC
1-(2,5-DIDEOXY-5-PYRROLIDIN-1-YL-BETA-L-ERYTHRO-PENTOFURANOSYL)-5-METHYLPYRIMIDINE-2,4(1H,3H)-DIONE	RNASE1
UNDECAN-2-ONE	ACOT13
L-CARNITINE	SLC22A4
L-CARNITINE	CPT2
L-CARNITINE	SLC22A5
L-CARNITINE	SLC25A29
L-CARNITINE	MPO
L-CARNITINE	CROT
L-CARNITINE	CPT1A
L-CARNITINE	SLC25A20
L-CARNITINE	CRAT
L-CARNITINE	CES1
L-CARNITINE	XDH
VALSARTAN	AGTR1
5-HYDROXYNAPHTHALENE-1-SULFONAMIDE	CDK2
5-[4-(DIMETHYLAMINO)PHENYL]-6-[(6-MORPHOLIN-4-YLPYRIDIN-3-YL)ETHYNYL]PYRIMIDIN-4-AMINE	ADK
PHENOXYBENZAMINE	ADRA2B
PHENOXYBENZAMINE	ADRB2
PHENOXYBENZAMINE	ADRA2A
PHENOXYBENZAMINE	ADRA1D
PHENOXYBENZAMINE	CALM1
PHENOXYBENZAMINE	ADRA1A
PHENOXYBENZAMINE	ADRA1B
PHENOXYBENZAMINE	ADRA2C
4-(2-(1H-IMIDAZOL-4-YL)ETHYLAMINO)-2-(PHENYLAMINO)PYRAZOLO[1,5-A][1,3,5]TRIAZINE-8-CARBONITRILE	CSNK2A1
FOSINOPRIL	ACE
DANAZOL	CCL2
DANAZOL	GNRHR
DANAZOL	ESR1
DANAZOL	AR
DANAZOL	PGR
NAVEGLITAZAR	PPARG
2-[4-(DIMETHYLAMINO)PHENYL]-6-HYDROXY-3-METHYL-1,3-BENZOTHIAZOL-3-IUM	ACHE
FARLETUZUMAB	FOLR1
CALCIDIOL	VDR
4-[[2-[[4-CHLORO-3-(TRIFLUOROMETHYL)PHENYL]AMINO]-3H-BENZIMIDAZOL-5-YL]OXY]-N-METHYL-PYRIDINE-2-CARBOXAMIDE	KDR
GLYCOLIC ACID	G6PD
RUCAPARIB	PARP2
RUCAPARIB	PARP1
RUCAPARIB	PARP3
D-PHENYLALANYL-N-(3-FLUOROBENZYL)-L-PROLINAMIDE	F2
PENTAMIDINE	TRDMT1
PORFIMER SODIUM	LDLR
PORFIMER SODIUM	FCGR1A
(2-BROMOETHYL)(2-FORMYL-4-AMINOPHENYL) ACETATE	CELA1
IRON DEXTRAN	FTL
IRON DEXTRAN	FTH1
IRON DEXTRAN	HBA1
IRON DEXTRAN	HBB
MANITIMUS	DHODH
4-{[4-(4-FLUORO-3-METHYLPHENYL)-1,3-THIAZOL-2-YL]AMINO}-2-HYDROXYBENZOIC ACID	HPGDS
TRASTUZUMAB EMTANSINE	ERBB2
PYRIDOXAMINE-5-PHOSPHATE	BCAT2
2-(5-CHLORO-2-THIENYL)-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-OXOETHYL]-2-OXOPYRROLIDIN-3-YL}ETHENESULFONAMIDE	F2
2-(5-CHLORO-2-THIENYL)-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-OXOETHYL]-2-OXOPYRROLIDIN-3-YL}ETHENESULFONAMIDE	F10
PROGUANIL	DHFR
EPHEDRINE	ADRA1A
EPHEDRINE	SLC18A2
EPHEDRINE	SLC6A2
EPHEDRINE	ACHE
TIANEPTINE	SLC6A4
TIANEPTINE	HTR1A
TIANEPTINE	GRIA1
OBINUTUZUMAB	MS4A1
KD7040	NOS2
IVERMECTIN	GLRA3
IVERMECTIN	GABRB3
TECADENOSON	ADORA1
CROFELEMER	ANO1
CROFELEMER	CFTR
METHYL 4-{[({[(2R,5S)-5-{[(2S)-2-(AMINOMETHYL)PYRROLIDIN-1-YL]CARBONYL}PYRROLIDIN-2-YL]METHYL}AMINO)CARBONYL]AMINO}BENZOATE	DPP4
RU79073	SRC
4-[3-HYDROXYANILINO]-6,7-DIMETHOXYQUINAZOLINE	CDK2
N-METHYLLEUCINE	CXCL10
3-BROMO-6-HYDROXY-2-(4-HYDROXYPHENYL)-1H-INDEN-1-ONE	ESR2
3-BROMO-6-HYDROXY-2-(4-HYDROXYPHENYL)-1H-INDEN-1-ONE	NCOA1
L-PROLINE	L3HYPDH
L-PROLINE	SLC6A14
L-PROLINE	P4HA2
L-PROLINE	P3H3
L-PROLINE	PPIA
L-PROLINE	PARS2
L-PROLINE	EPRS
L-PROLINE	P4HA1
L-PROLINE	P3H1
L-PROLINE	PPIF
L-PROLINE	SLC6A7
L-PROLINE	P3H2
L-PROLINE	PRODH
L-PROLINE	PPIC
L-PROLINE	PYCR1
L-PROLINE	PPIH
L-PROLINE	PYCR2
L-PROLINE	PPIG
L-PROLINE	PPIB
1-{(2S,5S)-4-FLUORO-5-[(TRITYLOXY)METHYL]TETRAHYDROFURAN-2-YL}PYRIMIDINE-2,4(1H,3H)-DIONE	DUT
(3R)-METHYLCARBAMOYL-7-SULFOAMINO-3,4-DIHYDRO-1H-ISOQUINOLINE-2-CARBOXYLIC ACID BENZYL ESTER	PTPN1
NALOXEGOL	OPRM1
GALLIUM NITRATE	IL1B
GALLIUM NITRATE	BGLAP
GALLIUM NITRATE	ATP6V1B2
GALLIUM NITRATE	RRM2
PN0621	TNF
GALLIUM MALTOLATE	RRM1
(3R)-N-(4-CHLOROPHENYL)-3-(HYDROXYMETHYL)-1,2,3,4-TETRAHYDROISOQUINOLINE-7-SULFONAMIDE	PNMT
SULFAMETHOXAZOLE	GSTP1
DAZOXIBEN	TBXAS1
N-[4-(AMINOSULFONYL)PHENYL]-2-MERCAPTOBENZAMIDE	CA2
(1R)-N,6-DIHYDROXY-7-METHOXY-2-[(4-METHOXYPHENYL)SULFONYL]-1,2,3,4-TETRAHYDROISOQUINOLINE-1-CARBOXAMIDE	MMP7
6-HYDROXY-1,6-DIHYDRO PURINE NUCLEOSIDE	ADA
(2S,3S)-3-AMINO-4-[(3S)-3-FLUOROPYRROLIDIN-1-YL]-N,N-DIMETHYL-4-OXO-2-(TRANS-4-[1,2,4]TRIAZOLO[1,5-A]PYRIDIN-5-YLCYCLOHEXYL)BUTANAMIDE	DPP4
PG-530742	MMP9
N-(TRANS-4-{(1S,2S)-2-AMINO-3-[(3S)-3-FLUOROPYRROLIDIN-1-YL]-1-METHYL-3-OXOPROPYL}CYCLOHEXYL)-N-METHYLACETAMIDE	DPP4
NOCODAZOLE	HPGDS
3,6,9,12,15-PENTAOXAHEPTADECANE	KYNU
3,6,9,12,15-PENTAOXAHEPTADECANE	ACHE
KD3010	PPARD
ETHYL OXO(PIPERIDIN-1-YL)ACETATE	PPIA
LONAFARNIB	IGFBP3
LONAFARNIB	FNTA
1,4-DITHIOTHREITOL	ALDH1A1
1,4-DITHIOTHREITOL	GSTZ1
1,4-DITHIOTHREITOL	MSRA
1,4-DITHIOTHREITOL	TRPM7
1,4-DITHIOTHREITOL	TPI1
1,4-DITHIOTHREITOL	CAMK2A
1,4-DITHIOTHREITOL	LGALS1
1,4-DITHIOTHREITOL	PPIB
1,4-DITHIOTHREITOL	HMGCR
